date,signal,value,stderr,sample_size
20210729,fb_survey_wcli,1.3624383,0.1626564,5365.9379
20210730,fb_survey_wcli,1.4827853,0.1861187,5191.9433
20210731,fb_survey_wcli,1.5563694,0.1851766,5246.9531
20210801,fb_survey_wcli,1.6053019,0.1871912,5318.953
20210802,fb_survey_wcli,1.7259072,0.1916192,5363.943
20210803,fb_survey_wcli,1.9255967,0.2165882,5450.9448
20210804,fb_survey_wcli,1.7963992,0.2094751,5571.9406
20210805,fb_survey_wcli,1.8944182,0.2081836,5668.9396
20210806,fb_survey_wcli,1.8270673,0.1914432,5754.9431
20210807,fb_survey_wcli,1.8638842,0.1903753,5932.9406
20210808,fb_survey_wcli,1.8524661,0.1940027,6095.9319
20210809,fb_survey_wcli,1.8109834,0.1904856,6214.9318
20210810,fb_survey_wcli,1.6999987,0.1642053,6274.926
20210811,fb_survey_wcli,1.8665558,0.1729365,6389.9286
20210812,fb_survey_wcli,1.905587,0.178741,6552.9258
20210813,fb_survey_wcli,1.9400427,0.1800461,6707.9248
20210814,fb_survey_wcli,2.1055119,0.2267819,6733.9207
20210815,fb_survey_wcli,2.0624952,0.2182401,6822.925
20210816,fb_survey_wcli,2.1359652,0.2209418,6876.9213
20210817,fb_survey_wcli,2.2265851,0.2218246,7022.9174
20210818,fb_survey_wcli,2.399268,0.2241784,7042.9028
20210819,fb_survey_wcli,2.4804869,0.2237129,7102.9078
20210820,fb_survey_wcli,2.4731807,0.2224427,7104.9022
20210821,fb_survey_wcli,2.431464,0.1915271,7119.9057
20210822,fb_survey_wcli,2.5368963,0.1961629,7139.8988
20210823,fb_survey_wcli,2.6239714,0.1985042,7188.9036
20210824,fb_survey_wcli,2.5609445,0.1955165,7153.9068
20210825,fb_survey_wcli,2.6758622,0.2182838,7138.9228
20210826,fb_survey_wcli,2.627337,0.2158911,7112.9148
20210827,fb_survey_wcli,2.6074037,0.2153083,7119.915
20210828,fb_survey_wcli,2.6140889,0.2083782,7142.9176
20210829,fb_survey_wcli,2.7390457,0.2264311,7127.9241
20210830,fb_survey_wcli,2.7009173,0.2275057,7138.9251
20210831,fb_survey_wcli,2.6045123,0.2274866,7161.9263
20210901,fb_survey_wcli,2.3359461,0.2018789,7172.9204
20210902,fb_survey_wcli,2.4395018,0.2064094,7099.9207
20210903,fb_survey_wcli,2.3639692,0.2017276,7107.9165
20210904,fb_survey_wcli,2.2107935,0.1947218,6970.9168
20210905,fb_survey_wcli,2.0906446,0.1731405,6911.9098
20210906,fb_survey_wcli,2.1893627,0.1838218,6887.9038
20210907,fb_survey_wcli,2.1401183,0.1791779,6836.898
20210908,fb_survey_wcli,2.1581895,0.1820786,6781.8991
20210909,fb_survey_wcli,2.0507295,0.1809825,6700.9047
20210910,fb_survey_wcli,2.1114232,0.189835,6598.9135
20210911,fb_survey_wcli,2.1151,0.1970822,6603.9052
20210912,fb_survey_wcli,2.0214865,0.1938325,6635.9098
20210913,fb_survey_wcli,1.7711167,0.1750986,6582.9123
20210914,fb_survey_wcli,1.9431957,0.1883694,6456.912
20210915,fb_survey_wcli,1.9446303,0.1903801,6383.9198
20210916,fb_survey_wcli,2.0097095,0.1992003,6354.9117
20210917,fb_survey_wcli,2.0681878,0.2017534,6328.9136
20210918,fb_survey_wcli,1.9008639,0.1881569,6240.9205
20210919,fb_survey_wcli,1.927026,0.1938171,5964.9241
20210920,fb_survey_wcli,1.9031408,0.1933442,5811.9333
20210921,fb_survey_wcli,1.787485,0.1848834,5766.9323
20210922,fb_survey_wcli,1.6820134,0.1766931,5731.9264
20210923,fb_survey_wcli,1.494766,0.159255,5672.9329
20210924,fb_survey_wcli,1.3249549,0.1463194,5495.9359
20210925,fb_survey_wcli,1.4533849,0.1610164,5436.9345
20210926,fb_survey_wcli,1.322193,0.15068,5476.9347
20210927,fb_survey_wcli,1.4037041,0.15851,5425.9291
20210928,fb_survey_wcli,1.2893908,0.1528308,5347.9417
20210929,fb_survey_wcli,1.3395954,0.1670645,5157.94
20210930,fb_survey_wcli,1.2588071,0.1657971,5058.9462
20211001,fb_survey_wcli,1.3943612,0.175076,5055.9418
20211002,fb_survey_wcli,1.8773107,0.6735448,5010.945
20211003,fb_survey_wcli,1.921685,0.6743134,4960.9463
20211004,fb_survey_wcli,1.9218784,0.6854,4679.9501
20211005,fb_survey_wcli,2.1387523,0.6912329,4726.9417
20211006,fb_survey_wcli,2.0411001,0.6855294,4790.9466
20211007,fb_survey_wcli,2.028078,0.6886134,4753.9429
20211008,fb_survey_wcli,1.8488369,0.6846188,4646.9497
20211009,fb_survey_wcli,1.3318459,0.2150033,4506.9438
20211010,fb_survey_wcli,1.2405545,0.2093566,4427.9499
20211011,fb_survey_wcli,1.0698398,0.172933,4528.9484
20211012,fb_survey_wcli,0.8637396,0.1499287,4265.9609
20211013,fb_survey_wcli,0.8550784,0.1504724,4024.9587
20211014,fb_survey_wcli,0.9725164,0.1556775,3831.9624
20211015,fb_survey_wcli,0.9630987,0.1601038,3728.962
20211016,fb_survey_wcli,0.8837738,0.1466376,3628.9726
20211017,fb_survey_wcli,1.0833036,0.1713703,3457.9732
20211018,fb_survey_wcli,1.204454,0.1796827,3391.9772
20211019,fb_survey_wcli,1.2153083,0.1831135,3389.9726
20211020,fb_survey_wcli,1.1579237,0.1863034,3409.971
20211021,fb_survey_wcli,0.9923775,0.1741717,3429.9703
20211022,fb_survey_wcli,0.9876944,0.1683447,3547.9636
20211023,fb_survey_wcli,1.1758483,0.1974902,3665.9603
20211024,fb_survey_wcli,1.0387861,0.1839013,3747.9568
20211025,fb_survey_wcli,0.9930528,0.176277,3835.9462
20211026,fb_survey_wcli,1.0223124,0.184447,3932.9501
20211027,fb_survey_wcli,1.0958321,0.191167,4132.9529
20211028,fb_survey_wcli,1.3080613,0.2014377,4358.9499
20211029,fb_survey_wcli,1.357804,0.2138102,4412.9576
20211030,fb_survey_wcli,1.2303622,0.1949804,4410.956
20211031,fb_survey_wcli,1.2651237,0.1964377,4488.9523
20211101,fb_survey_wcli,1.3159005,0.209014,4440.9604
20211102,fb_survey_wcli,1.2308997,0.1943742,4438.9545
20211103,fb_survey_wcli,1.3847531,0.2116025,4284.9541
20211104,fb_survey_wcli,1.3554091,0.2291488,4190.9583
20211105,fb_survey_wcli,1.3262588,0.2191932,4155.9552
20211106,fb_survey_wcli,1.2697126,0.2187396,4160.9572
20211107,fb_survey_wcli,1.3330103,0.2351594,4152.9591
20211108,fb_survey_wcli,1.3168832,0.225899,4254.9631
20211109,fb_survey_wcli,1.4009299,0.2324938,4204.9651
20211110,fb_survey_wcli,1.3269334,0.2375762,4236.9617
20211111,fb_survey_wcli,1.2921678,0.2207177,4197.9622
20211112,fb_survey_wcli,1.404213,0.2318601,4153.9633
20211113,fb_survey_wcli,1.4164577,0.2294366,4115.9617
20211114,fb_survey_wcli,1.4656104,0.2305226,4057.9623
