gadm_id,gadm_name,home_to_ping_distance_category,distance_category_ping_fraction,ds
MEX.5.94_1,Tenejapa,"[10, 100)",0.03563824324465504,2026-06-16
MEX.5.94_1,Tenejapa,100+,0.0006621899179127698,2026-06-16
MEX.5.94_1,Tenejapa,0,0.4269847533881209,2026-06-16
MEX.7.18_1,Monclova,"(0, 10)",0.6208899278457729,2026-06-16
MEX.7.18_1,Monclova,0,0.35340733951088726,2026-06-16
MEX.7.18_1,Monclova,"[10, 100)",0.01805374616066524,2026-06-16
MEX.7.18_1,Monclova,100+,0.007675358144405006,2026-06-16
MEX.32.16_1,General Pánfilo Natera,0,0.40457621829805207,2026-06-16
MEX.32.16_1,General Pánfilo Natera,100+,0.010513091352963584,2026-06-16
MEX.32.16_1,General Pánfilo Natera,"(0, 10)",0.5244749348666983,2026-06-16
MEX.32.16_1,General Pánfilo Natera,"[10, 100)",0.0591564386863921,2026-06-16
MEX.12.12_1,Ayutla de los Libres,100+,0.001805351041448156,2026-06-16
MEX.12.12_1,Ayutla de los Libres,"[10, 100)",0.032898155225513356,2026-06-16
MEX.12.12_1,Ayutla de los Libres,0,0.3851848044622687,2026-06-16
MEX.12.12_1,Ayutla de los Libres,"(0, 10)",0.5798880820969252,2026-06-16
MEX.21.213_1,Zoquitlan,"[10, 100)",0.03318373234108192,2026-06-16
MEX.21.213_1,Zoquitlan,"(0, 10)",0.5336776839513521,2026-06-16
MEX.21.213_1,Zoquitlan,100+,-0.002899274241640227,2026-06-16
MEX.21.213_1,Zoquitlan,0,0.4337039430495853,2026-06-16
MEX.16.75_1,Queréndaro,0,0.39450377404653447,2026-06-16
MEX.16.75_1,Queréndaro,100+,0.0005451837454021256,2026-06-16
MEX.16.75_1,Queréndaro,"[10, 100)",0.06460524720962865,2026-06-16
MEX.16.75_1,Queréndaro,"(0, 10)",0.540317235196158,2026-06-16
MEX.5.97_1,Tonalá,"[10, 100)",0.044122843509539815,2026-06-16
MEX.5.97_1,Tonalá,0,0.3858656726404438,2026-06-16
MEX.5.97_1,Tonalá,"(0, 10)",0.5562353625315751,2026-06-16
MEX.5.97_1,Tonalá,100+,0.013944557553103814,2026-06-16
MEX.21.176_1,Tlacuilotepec,"(0, 10)",0.5860849914313945,2026-06-16
MEX.21.176_1,Tlacuilotepec,"[10, 100)",0.02772046436959606,2026-06-16
MEX.21.176_1,Tlacuilotepec,0,0.37726649904791354,2026-06-16
MEX.21.176_1,Tlacuilotepec,100+,0.008418799212252259,2026-06-16
MEX.10.19_1,Otáez,"(0, 10)",0.5760903871137814,2026-06-16
MEX.10.19_1,Otáez,0,0.41961219746682676,2026-06-16
MEX.10.19_1,Otáez,100+,0.0028767059491836165,2026-06-16
MEX.10.19_1,Otáez,"[10, 100)",0.009442206809819545,2026-06-16
MEX.15.59_1,Morelos,0,0.37919994439012883,2026-06-16
MEX.15.59_1,Morelos,"[10, 100)",0.09660326834822228,2026-06-16
MEX.15.59_1,Morelos,100+,0.0012120418669897997,2026-06-16
MEX.15.59_1,Morelos,"(0, 10)",0.5228542077481255,2026-06-16
MEX.13.10_1,Atlapexco,100+,0.007338685742043936,2026-06-16
MEX.13.10_1,Atlapexco,"(0, 10)",0.5421426961189937,2026-06-16
MEX.13.10_1,Atlapexco,"[10, 100)",0.07615631776458226,2026-06-16
MEX.13.10_1,Atlapexco,0,0.37414845564231664,2026-06-16
