date,handle,keywords,text
2026-06-08,hsph.harvard.edu,malaria,"Paulo Manrique, PhD '26, analyzed the genomes of nearly a thousand malaria parasites to trace their origins and help explain malaria's recent resurgence in Central America. He and his colleagues are now building a network to share genomic tools and data to track the disease acros"
2026-06-08,wmogame.bsky.social,outbreak,Whisper Mountain Outbreak is joining the Southeast Asian Games Showcase Steam Sale Event until June 14!  Explore & investigate to find a way out of the ancient terror!🗻Thanks to @seagshowcase.bsky.social for having us!  Grab it now for 20% OFF🔻 store.steampowered.com/app/1953230
2026-06-03,idph.bsky.social,covid;flu,"If you're shopping for one, look for a True HEPA filter. HEPA filters are the gold standard for capturing tiny airborne particles (like the ones that cause COVID-19, colds, and flu)."
2026-06-02,sheaepi.bsky.social,outbreak,"🧵3/4: Without full participation in WHO, the U.S. faces delays in accessing critical outbreak information and reduced coordination with global partners, creating real risks for patients, providers, and communities."
2026-06-02,sheaepi.bsky.social,outbreak,"🧵1/4: The United States is at a critical moment in global health and we need your voice.  An active Ebola outbreak, combined with other emerging infectious threats and upcoming international mass gatherings, highlights the urgent need for strong global coordination and real-time "
2026-06-01,publichealth.boston.gov,covid;flu;rsv,"Wastewater data for June 1 is now available:   • Citywide COVID-19 level: Very Low   • Citywide flu level: Not Detected  • Citywide RSV level: Not Detected   Find data about your neighborhood, reports, and more at boston.gov/wastewater."
2026-05-29,ichejournal.bsky.social,outbreak,"New in ICHE: Ralstonia pickettii outbreak in pediatric intensive care units, Peru 2025  ➡️ 11 bloodstream infections from contaminated dexmedetomidine ➡️AR 29.73%, CFR 27.27% ➡️Isolate recovered from imported dexmedetomidine batch  #IDSky @jlsalinas.bsky.social   📃: doi.org/10.10"
2026-05-29,publichealth.boston.gov,mpox,"📢 Get your mpox vaccination at City Hall on June 1 at 1 p.m.   No appointment needed, walk-ins welcome. Staff will ask for your insurance and identification card, but they are not required. If you have a health insurance card, please bring it with you.   Learn about mpox symptoms"
2026-05-29,publichealth.boston.gov,covid;flu;rsv,"Wastewater data for May 29 is now available: • Citywide COVID-19 level: Very Low • Citywide flu level: Not Detected • Citywide RSV level: Low  Find data about your neighborhood, reports, and more at boston.gov/wastewater."
2026-05-29,publichealth.boston.gov,mpox,"📢 Get your mpox vaccination at City Hall on June 1 at 1 p.m.   No appointment needed, walk-ins welcome. Staff will ask for your insurance and identification card, but they are not required. If you have a health insurance card, please bring it with you.   Learn about mpox symptoms"
2026-05-28,publichealth.boston.gov,mpox,"We are monitoring an uptick in mpox cases in Boston.  There is no widespread public health threat from mpox at this time, but at-risk residents, including gay and bisexual men and other men who have sex with men are encouraged to protect themselves and their communities by gettin"
2026-05-28,yalesph.bsky.social,outbreak,"The global community is dealing with a hantavirus outbreak and an Ebola emergency simultaneously. We asked Dr. Deb Houry for her insights into the two outbreaks, and our preparedness to respond to them at home.   Read the full interview: m.yale.edu/djhx"
2026-05-26,publichealth.boston.gov,covid;flu;rsv,"Wastewater data for May 26 is now available:   • Citywide COVID-19 level: Very Low   • Citywide flu level: Not Detected  • Citywide RSV level: Low   Find data about your neighborhood, reports, and more at boston.gov/wastewater."
2026-05-22,publichealth.boston.gov,covid;flu;rsv,"Wastewater data for May 21 is now available:   • Citywide COVID-19 level: Very Low   • Citywide flu level: Low  • Citywide RSV level: Low   Find data about your neighborhood, reports, and more at boston.gov/wastewater."
2026-05-21,rsph.bsky.social,covid,New research: What makes public health messaging effective at influencing behaviour? 💬   A first-of-its-kind study published in our journal has explored how who delivers a health message and how it is presented influences behaviour around COVID-19 ⬇️
2026-05-20,idph.bsky.social,outbreak,"IDPH is closely monitoring an Ebola outbreak affecting parts of Central and East Africa. At this time, the risk to people in Illinois remains LOW. There are currently no confirmed Ebola cases in the U.S."
2026-05-13,idph.bsky.social,outbreak,"""Headcheese"" sounds unserious. Listeria is not.  IDPH is warning Illinois residents about a listeria outbreak linked to certain Daisy Brand headcheese products sold at deli counters. Here’s what you need to know 🧵"
2026-05-07,harvardepi.bsky.social,covid;influenza,"Join us on TODAY 5/7 at 1PM ET with Nick Reich, Professor of Biostatistics, Director, COVID-19 Forecast Hub Director, Influenza Forecasting Center of Excellence at the University of Massachusetts Amherst School of Public Health & Health Sciences. Register for Zoom at hsph.me/IDEP"
2026-05-07,johnshopkinssph.bsky.social,outbreak,An outbreak of hantavirus—a rare rodent-borne infection—has emerged aboard a ship carrying 147 passengers.  Here's what we know.
2026-05-02,wmogame.bsky.social,outbreak,"🇮🇩 Whisper Mountain Outbreak (@wmogame.bsky.social)  An isometric co-op PvE multiplayer survival-horror game with escape-room elements, where you and your friends must work together to escape the cursed fog-covered Mount Bisik.   ⛰️ store.steampowered.com/app/1953230/"
2026-04-14,wmogame.bsky.social,outbreak,Grab Whisper Mountain Outbreak on Steam for 20% OFF during Lovecraftian Sale Event⬇️ store.steampowered.com/app/1953230/...
2026-04-13,wmogame.bsky.social,outbreak,The curse has spread and the outbreak just got more dangerous.  You find a cursed item… what’s your next move? 🔫  The Cursed Update is LIVE 🔴 PLAY NOW ⬇️ store.steampowered.com/app/1953230/...
2026-04-11,wmogame.bsky.social,outbreak,Whisper Mountain Outbreak is participating #LovecraftianDays event by Fulqrum Publishing on Steam!  The Cursed Update is here with new twists and more features! Team up with your friends and survive the curse of Mount Bisik 🧟  Grab it now for 20% OFF🔻 store.steampowered.com/app/1
